"","location","date","co_8hr","no2_one_hour_max","o3_eight_hour_max","pm10_24","pm25_24","psi_24","psi_three_hourly","so2_24"
"1346","south","2017-09-28",0.467391304347826,31.7826086956522,28.304347826087,27.3913043478261,16.695652173913,56.2608695652174,NA,32.1739130434783
"1347","south","2017-09-29",0.468695652173913,29.5652173913043,9.95652173913044,24.0869565217391,14.4782608695652,53.1739130434783,NA,27.1739130434783
"1348","south","2017-09-30",0.459130434782609,24,14.4782608695652,20.9130434782609,11.8260869565217,48.7826086956522,NA,29.8695652173913
"1349","south","2017-10-01",0.548260869565217,19.8260869565217,9.39130434782609,26.9130434782609,16.2608695652174,55.695652173913,NA,26.5652173913043
"1350","south","2017-10-02",0.52,25.4782608695652,14.304347826087,26.9565217391304,15.5217391304348,54.7826086956522,NA,23.1739130434783
"1351","south","2017-10-03",0.735217391304348,38.3913043478261,8.39130434782609,34.4347826086956,22.6086956521739,62.9130434782609,NA,23.1304347826087
"1352","south","2017-10-04",0.508695652173913,23.4782608695652,9.34782608695652,24.1304347826087,14.1304347826087,50.4347826086956,NA,25.6086956521739
"1353","south","2017-10-05",0.482173913043478,21.1739130434783,21.1304347826087,22.0869565217391,11.4347826086957,47.5217391304348,NA,20.5652173913043
"1354","south","2017-10-06",0.571739130434783,31.5217391304348,14.5217391304348,23.1304347826087,13.3913043478261,51.1304347826087,NA,13
"1355","south","2017-10-07",0.672173913043478,30.0434782608696,40.4782608695652,32.0434782608696,21.9130434782609,62,NA,14.6521739130435
"1356","south","2017-10-08",0.621739130434783,33.1739130434783,25.5652173913043,31.5217391304348,19.3913043478261,59.2608695652174,NA,18.3913043478261
"1357","south","2017-10-09",0.512608695652174,24.7826086956522,18.0869565217391,27.0434782608696,17.2173913043478,56.8260869565217,NA,26.695652173913
"1358","south","2017-10-10",0.492173913043478,14.0869565217391,15.5217391304348,19.3478260869565,10.695652173913,44.1304347826087,NA,26.2173913043478
"1359","south","2017-10-11",0.471739130434783,21.695652173913,18.9565217391304,20.695652173913,9.56521739130435,40.2173913043478,NA,25.9565217391304
"1360","south","2017-10-12",0.474347826086957,24.9130434782609,6.60869565217391,22.0434782608696,11.9130434782609,49.2173913043478,NA,44.9130434782609
"1361","south","2017-10-13",0.476086956521739,23.0869565217391,8.43478260869565,20.9130434782609,11.3913043478261,46.8695652173913,NA,27.5652173913043
"1362","south","2017-10-14",0.540434782608696,13.9565217391304,5.30434782608696,22.6521739130435,12.695652173913,48.7391304347826,NA,6.8695652173913
"1363","south","2017-10-15",0.608695652173913,14.2173913043478,6.17391304347826,35.1304347826087,23.8695652173913,64.3478260869565,NA,5.56521739130435
"1364","south","2017-10-16",0.502173913043478,19.3913043478261,6.17391304347826,26.9130434782609,16.5217391304348,56.0869565217391,NA,7.1304347826087
"1365","south","2017-10-17",0.511304347826087,23.9565217391304,15.0869565217391,28.4782608695652,17.2173913043478,56.7391304347826,NA,17.9130434782609
"1366","south","2017-10-18",0.451304347826087,11.3478260869565,33.2173913043478,28.8695652173913,16,55.4347826086956,NA,27.6086956521739
"1367","south","2017-10-19",0.486086956521739,27.3478260869565,26.2608695652174,33.695652173913,22.4782608695652,62.8260869565217,NA,19.8695652173913
"1368","south","2017-10-20",0.553913043478261,26.4782608695652,19.304347826087,45.5652173913044,32.4782608695652,74.0869565217391,NA,27.9565217391304
"1369","south","2017-10-21",0.56,23.7826086956522,27.4347826086957,38.5217391304348,24.1739130434783,64.7391304347826,NA,20.8260869565217
"1370","south","2017-10-22",0.645652173913044,14.5652173913043,17,41.5217391304348,28.695652173913,69.7826086956522,NA,12.0869565217391
"1371","south","2017-10-23",0.69304347826087,28.1304347826087,15,35.2608695652174,22.2173913043478,62.4347826086956,NA,14.2173913043478
"1372","south","2017-10-24",0.73304347826087,43.1739130434783,23.1739130434783,45.7826086956522,30.0434782608696,71.304347826087,NA,14.0434782608696
"1373","south","2017-10-25",0.753913043478261,41.4782608695652,48,49.7391304347826,33.9565217391304,75.8260869565217,NA,14.1304347826087
"1374","south","2017-10-26",0.730869565217391,39.2608695652174,30.304347826087,36.8695652173913,23.4782608695652,63.9130434782609,NA,16.8260869565217
